Scholarship Name,Scholarship Sponsor,Description,Eligibility:,Application closing date:,Support Type:,Level of Study:,Gender:,Frequency of Offer:,Fields of Study:,Location of Study:,No Offered Per Year:,Target Group:,Subjects:,Scholarship website
Waverley College Award in Arts & Social Sciences,UNSW Sydney,The scholarship was established to encourage students from Waverley College to undertake study in the Faculty of Arts and Social Sciences at UNSW.,Applicants must: be undertaking or have completed their HSC at Waverley College in two years prior to award; be intending to enrol in a full-time undergraduate program in the Faculty of Arts and Social Sciences at UNSW. Selection is based on academic merit and reasons for undertaking the program of study.,30 September,Scholarship,,Co-Ed,Annual,"Communications, Creative Arts, Humanities & Social Sciences, Language & Literature, Social Work, Welfare & Community Services",Sydney Metropolitan,1,,,http://www.scholarships.unsw.edu.au/scholarships/id/11/3151
Webster Nolan Fund Scholarship,The University of Melbourne,,Applicants must: be first year classical voice music students; reside outside a radius of 50km from Melbourne CBD; and demonstrate financial need. Selection is based on academic merit.,End March,Equity Scholarship,Undergraduate,Co-Ed,Every 3 years,Creative Arts,Melbourne Metropolitan,1,"Rural and isolated area resident, Educational disadvantage",Vocal music,http://mcm.unimelb.edu.au/study/scholarships
Westende Travelling Scholarship,Australian National University,The Westende Travelling Grant is available to assist an undergraduate student to undertake an overseas exchange.,"Applicants must: be enrolled in an undergraduate program offered by the School of Arts in the ANU College of Arts and Social Sciences; be working in any area of visual arts, design arts or digital arts; and have received a letter of confirmation of acceptance by an overseas exchange institution.",,"Travel Grant outside Australia, Travel Grant within Australia",,Co-Ed,Annual,Creative Arts,Australian Capital Territory,,,,http://www.anu.edu.au/students/scholarships-support/westende-travelling-scholarship
Wilf Simmonds Scholarship in Physiology,University of Western Australia,"Family, colleagues, past students and friends of the late Emeritus Professor Wilf Simmonds have made donations to establish a Research Trust Fund in his memory for the purpose of providing vacation scholarships in physiology.",Applicants must: be enrolled as full-time students at the University of Western Australia; have successfully completed 2 years of study in physiology; and be undertaking a physiology research project of at least 6 and no more than 8 weeks' duration during the long vacation under the supervision of a member of staff in Physiology.,,Scholarship,,Co-Ed,Annual,Health Services & Support,Perth Metropolitan,,,Physiology,http://www.scholarships.uwa.edu.au/search?sc_view=1&id=282&page=1&ApplicationStatus=-1&Faculty=-1&StudyLevel=-1&Nationality=-1&StudyArea=-1&q=Wilf+Simmonds+
William Nathaniel Robertson Scholarship,University of Queensland,"The scholarship was founded in 1984 by a bequest of $10,000 under the will of Clara Joan Roe, in memory of her father, William Nathaniel Robertson, Vice-Chancellor of the University 1926-1938. The object of the scholarship is to enable a student intermitting the program for the degrees of Bachelor of Medicine and Bachelor of Surgery to undertake a research project as part of the requirements for the degree of Master of Philosophy or integrated MBBS/PhD program.",Applicants must: be MBBS students undertaking a research project as part of the requirements for the degree of Master of Philosophy or integrated MBBS/PhD program. Selection is based on academic merit.,,Scholarship,,Co-Ed,Annual,Medicine,Brisbane Metropolitan,1,,"Medical research, Medical science",http://scholarships.uq.edu.au/
Winifred E Preedy Undergraduate Bursary,Australian Federation of University Women South Australia Inc Trust Fund,Eligible women will be invited to apply for this bursary by the Dental School at the University of Adelaide. The bursary is for women undergraduates enrolled in the Dental School. This bursary is funded by the Winifred E. Preedy bequest.,Applicants must be women undergraduates enrolled in the Dental School at the University of Adelaide.,31 March,Scholarship,Undergraduate,Female,Annual,Dental Studies,Adelaide Metropolitan,,Educational disadvantage,,http://www.afuwsa-trust.com.au/undergraduate-bursaries/
Women in Engineering Scholarship,Monash University,The scholarship is awarded to female students commencing any engineering degree programs offered by the Faculty of Engineering based on academic achievement.,"Applicants must: be an Australian or New Zealand citizen, Australian permanent resident or permanent humanitarian visa holder, or an international student; be female and studying Australian Year 12 or IB in the year prior to award; and be commencing any engineering undergraduate single or double degree offered by the Faculty of Engineering at a Monash campus in Australia. Selection based on academic achievement.",No application required,Scholarship,Undergraduate,Female,Annual,Engineering & Technology,Melbourne Metropolitan,50,Women and men in a non-traditional field of study,Engineering,http://www.monash.edu.au/study/scholarships/merit/women-engineering.html
Women in Maritime Engineering Scholarship,University of Tasmania,"AMC's Women in Maritime Engineering Scholarships program is designed to support women studying in the areas of Naval Architecture, Ocean Engineering or Marine and Offshore Systems at Australia's premier maritime engineering facility, the National Centre for Maritime Engineering and Hydrodynamics.","Applicants must: be female; achieve an ATAR of 70 or above (OP 14 or above); and be intending to commence study in either the Bachelor of Engineering (Marine & Offshore Systems), Bachelor of Engineering (Ocean Engineering), or Bachelor of Engineering (Naval Architecture).",31 October,Equity Scholarship,Undergraduate,Female,Annual,Engineering & Technology,North,,Women and men in a non-traditional field of study,"Ocean engineering, Naval architecture, Marine engineering",http://info.scholarships.utas.edu.au/AwardDetails.aspx?AwardId=2357
Women in Mathematics and Statistics Scholarship,UNSW Sydney,The scholarship was established to encourage domestic and international female students to undertake full-time undergraduate study at UNSW with a major or study plan in mathematics in a Bachelor of Science or combined Bachelor of Science program.,"Applicants must: be female; be undertaking full-time study in a Bachelor of Science with a Mathematics major or study plan. Applicants must have completed at least 36 units of credit offered by the School of Mathematics and Statistics in their second year, and 60 units of credit by the end of their third year.",30 September,Scholarship,,Female,Annual,Mathematics,Sydney Metropolitan,1,,Mathematics,http://www.maths.unsw.edu.au/futurestudents/scholarships
Yuill Scholarship To Support The International Court Of Justice Traineeship Program,Australian National University,The Yuill Scholarship has been established by the University to provide funding to support participation in the International Court of Justice (ICJ) Traineeship Program. The purpose of the scholarship is to defray the living expenses of the successful applicant while undertaking the traineeship with the court.,"Applicants must: be final year students in the ANU College of Law LLB program or JD program, or recent graduates of either of the programs. Selection is primarily on the basis of academic excellence in courses relating to public international law, with proven research and writing skills. Any other related achievements or experience, including work experience, international engagement, or contribution to the wider community will also be considered. Applicants are required to submit a letter of application, and a CV.",Early February,Cadetship,,Co-Ed,Annual,Law,Australian Capital Territory,1,,"International law, Public international law",http://www.anu.edu.au/students/scholarships/yuill-scholarship-to-support-the-international-court-of-justice-traineeship
